1000VIRUSput.1	MH777350	Betapapillomavirus
1000VIRUSput.2	MH777350	Betapapillomavirus
1001VIRUSput	U31781	Betapapillomavirus 2
1002VIRUSput	MF588718	Gammapapillomavirus
1003VIRUSput.1	MF588687	Betapapillomavirus
1003VIRUSput.2	MF588687	Betapapillomavirus
1004VIRUSput	X74466	Betapapillomavirus 1
1005VIRUSput.1	MF588684	Betapapillomavirus
1005VIRUSput.2	MF588684	Betapapillomavirus
1006VIRUSput	KC108722	Gammapapillomavirus 10
1007VIRUSput	FM955840	Betapapillomavirus 2
1008VIRUSput	MF588718	Gammapapillomavirus
1009VIRUSput.1	EU410349	Betapapillomavirus 2
1009VIRUSput.2	EU410349	Betapapillomavirus 2
100VIRUSput	FN677755	Betapapillomavirus 5
1010VIRUSput	GQ246951	Betapapillomavirus 1
1011VIRUSput	GU117634	Gammapapillomavirus 7
1012VIRUSput	HE963025	Betapapillomavirus 2
1013VIRUSput	M17463	Betapapillomavirus 1
1014VIRUSput	U31779	Betapapillomavirus 1
1015VIRUSput	GQ845446	Betapapillomavirus 1
1016VIRUSput	U31782	Betapapillomavirus 1
1017VIRUSput.1	FM955837	Betapapillomavirus 1
1017VIRUSput.2	FM955837	Betapapillomavirus 1
1017VIRUSput.3	FM955837	Betapapillomavirus 1
1017VIRUSput.4	FM955837	Betapapillomavirus 1
1017VIRUSput.5	FM955837	Betapapillomavirus 1
1018VIRUSput.1	HM999999	Gammapapillomavirus 8
1018VIRUSput.2	HM999999	Gammapapillomavirus 8
1018VIRUSput.3	HM999999	Gammapapillomavirus 8
1019VIRUSput	AY382779	Betapapillomavirus 5
101VIRUSput	M17463	Betapapillomavirus 1
1020VIRUSput	MF588709	Gammapapillomavirus
1021VIRUSput.1	KY242583	Betapapillomavirus
1021VIRUSput.2	KY242583	Betapapillomavirus
1022VIRUSput.1	MF588728	Gammapapillomavirus
1022VIRUSput.2	MF588728	Gammapapillomavirus
1023VIRUSput	X74471	Betapapillomavirus 1
1024VIRUSput.1	AF531420	Betapapillomavirus 4
1024VIRUSput.2	AF531420	Betapapillomavirus 4
1024VIRUSput.3	AF531420	Betapapillomavirus 4
1025VIRUSput	MG520499	Gammapapillomavirus
1026VIRUSput.1	HM999994	Gammapapillomavirus 10
1026VIRUSput.2	HM999994	Gammapapillomavirus 10
1027VIRUSput	KP692118	Gammapapillomavirus
1028VIRUSput	MF588679	Betapapillomavirus
1029VIRUSput	KR816174	Gammapapillomavirus 26
102VIRUSput.1	MH777339	Gammapapillomavirus
102VIRUSput.2	MH777339	Gammapapillomavirus
1030VIRUSput.1	KF482069	Gammapapillomavirus
1030VIRUSput.2	KF482069	Gammapapillomavirus
1031VIRUSput.1	FM955839	Betapapillomavirus 2
1031VIRUSput.2	FM955839	Betapapillomavirus 2
1032VIRUSput	MF588728	Gammapapillomavirus
1033VIRUSput	M17463	Betapapillomavirus 1
1034VIRUSput.1	KP692118	Gammapapillomavirus
1034VIRUSput.2	KP692118	Gammapapillomavirus
